receipt_date,region,channel,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
2019-08-13,Ленинградская область,nonchain,marlboro,34391,6159519,18989072,0.32
2019-08-13,Московская область,chain,marlboro,2378,6159519,18989072,0.32
2019-08-13,Московская область,nonchain,marlboro,38786,6159519,18989072,0.32
2019-08-13,Новосибирская область,chain,marlboro,7720,6159519,18989072,0.32
2019-08-13,Новосибирская область,nonchain,marlboro,10663,6159519,18989072,0.32
2019-08-13,Санкт-Петербург,chain,marlboro,8380,6159519,18989072,0.32
2019-08-13,Санкт-Петербург,nonchain,marlboro,39102,6159519,18989072,0.32
2019-08-13,Свердловская область,chain,marlboro,4446,6159519,18989072,0.32
2019-08-13,Свердловская область,nonchain,marlboro,11663,6159519,18989072,0.32
2019-08-13,г. Москва,chain,marlboro,1645,6159519,18989072,0.32
2019-08-13,г. Москва,nonchain,marlboro,27900,6159519,18989072,0.32
2019-08-14,Ленинградская область,chain,marlboro,1861,6159519,18989072,0.32
2019-08-14,Ленинградская область,nonchain,marlboro,20518,6159519,18989072,0.32
2019-08-14,Московская область,chain,marlboro,1736,6159519,18989072,0.32
2019-08-14,Московская область,nonchain,marlboro,26424,6159519,18989072,0.32
2019-08-14,Новосибирская область,chain,marlboro,11415,6159519,18989072,0.32
2019-08-14,Новосибирская область,nonchain,marlboro,7488,6159519,18989072,0.32
2019-08-14,Санкт-Петербург,chain,marlboro,8098,6159519,18989072,0.32
2019-08-14,Санкт-Петербург,nonchain,marlboro,38409,6159519,18989072,0.32
2019-08-14,Свердловская область,chain,marlboro,3265,6159519,18989072,0.32
2019-08-14,Свердловская область,nonchain,marlboro,9760,6159519,18989072,0.32
2019-08-14,г. Москва,chain,marlboro,2633,6159519,18989072,0.32
2019-08-14,г. Москва,nonchain,marlboro,21624,6159519,18989072,0.32
2019-08-15,Ленинградская область,chain,marlboro,1172,6159519,18989072,0.32
2019-08-15,Ленинградская область,nonchain,marlboro,22117,6159519,18989072,0.32
2019-08-15,Московская область,chain,marlboro,1570,6159519,18989072,0.32
2019-08-15,Московская область,nonchain,marlboro,21710,6159519,18989072,0.32
2019-08-15,Новосибирская область,chain,marlboro,7980,6159519,18989072,0.32
2019-08-15,Новосибирская область,nonchain,marlboro,10591,6159519,18989072,0.32
2019-08-15,Санкт-Петербург,chain,marlboro,6957,6159519,18989072,0.32
2019-08-15,Санкт-Петербург,nonchain,marlboro,62671,6159519,18989072,0.32
2019-08-15,Свердловская область,chain,marlboro,3500,6159519,18989072,0.32
2019-08-15,Свердловская область,nonchain,marlboro,20074,6159519,18989072,0.32
2019-08-15,г. Москва,chain,marlboro,2201,6159519,18989072,0.32
2019-08-15,г. Москва,nonchain,marlboro,28172,6159519,18989072,0.32
2019-08-16,Ленинградская область,chain,marlboro,6000,6159519,18989072,0.32
2019-08-16,Ленинградская область,nonchain,marlboro,26279,6159519,18989072,0.32
2019-08-16,Московская область,chain,marlboro,5432,6159519,18989072,0.32
2019-08-16,Московская область,nonchain,marlboro,22357,6159519,18989072,0.32
2019-08-16,Новосибирская область,chain,marlboro,7604,6159519,18989072,0.32
2019-08-16,Новосибирская область,nonchain,marlboro,12551,6159519,18989072,0.32
2019-08-16,Санкт-Петербург,chain,marlboro,10865,6159519,18989072,0.32
2019-08-16,Санкт-Петербург,nonchain,marlboro,57759,6159519,18989072,0.32
2019-08-16,Свердловская область,chain,marlboro,2375,6159519,18989072,0.32
2019-08-16,Свердловская область,nonchain,marlboro,10981,6159519,18989072,0.32
2019-08-16,г. Москва,chain,marlboro,1676,6159519,18989072,0.32
2019-08-16,г. Москва,nonchain,marlboro,36902,6159519,18989072,0.32
2019-08-17,Ленинградская область,chain,marlboro,5441,6159519,18989072,0.32
2019-08-17,Ленинградская область,nonchain,marlboro,36080,6159519,18989072,0.32
2019-08-17,Московская область,chain,marlboro,5477,6159519,18989072,0.32
2019-08-17,Московская область,nonchain,marlboro,29257,6159519,18989072,0.32
2019-08-17,Новосибирская область,chain,marlboro,10877,6159519,18989072,0.32
2019-08-17,Новосибирская область,nonchain,marlboro,12690,6159519,18989072,0.32
2019-08-17,Санкт-Петербург,chain,marlboro,6843,6159519,18989072,0.32
2019-08-17,Санкт-Петербург,nonchain,marlboro,75648,6159519,18989072,0.32
2019-08-17,Свердловская область,chain,marlboro,1497,6159519,18989072,0.32
2019-08-17,Свердловская область,nonchain,marlboro,9787,6159519,18989072,0.32
2019-08-17,г. Москва,chain,marlboro,799,6159519,18989072,0.32
2019-08-17,г. Москва,nonchain,marlboro,75960,6159519,18989072,0.32
2019-08-18,Ленинградская область,chain,marlboro,3294,6159519,18989072,0.32
2019-08-18,Ленинградская область,nonchain,marlboro,19937,6159519,18989072,0.32
2019-08-18,Московская область,chain,marlboro,4970,6159519,18989072,0.32
2019-08-18,Московская область,nonchain,marlboro,21564,6159519,18989072,0.32
2019-08-18,Новосибирская область,chain,marlboro,3299,6159519,18989072,0.32
2019-08-18,Новосибирская область,nonchain,marlboro,10581,6159519,18989072,0.32
2019-08-18,Санкт-Петербург,chain,marlboro,6533,6159519,18989072,0.32
2019-08-18,Санкт-Петербург,nonchain,marlboro,71293,6159519,18989072,0.32
2019-08-18,Свердловская область,chain,marlboro,3013,6159519,18989072,0.32
2019-08-18,Свердловская область,nonchain,marlboro,7222,6159519,18989072,0.32
2019-08-18,г. Москва,chain,marlboro,1893,6159519,18989072,0.32
